t,x,y,i
268,43348,1113742.29121293,1
269,43378,1115044.68047587,1
270,43432,1114460.75901011,1
271,43478,1115484.80158489,1
272,43556,1119681.05335628,1
273,43620,1123098.75206241,1
274,43660,1119696.83052012,1
275,43663,1121672.87167887,1
276,43718,1124573.73338,1
277,43753,1124614.16781408,1
278,43784,1126590.25272877,1
279,43830,1126107.86014675,1
280,43900,1127380.75681258,1
281,43908,1128421.30523538,1
282,43962,1130458.60662559,1
283,44041,1131090.08030474,1
284,44128,1134993.94086314,1
285,44159,1134587.23203361,1
286,44220,1136349.93476577,1
287,44295,1137402.97592129,1
288,44352,1140452.34007724,1
289,44358,1140012.84284539,1
290,44376,1140564.7613853,1
291,44404,1140927.17250314,1
292,44442,1145123.1568428,1
293,44518,1142936.04374536,1
294,44555,1148082.09239584,1
295,44600,1144583.03039414,1
296,44614,1147479.59773591,1
297,44619,1145219.41035503,1
298,44669,1148508.89431211,1
299,44675,1147996.77251106,1
300,44744,1149418.26833273,1
301,44744,1152396.82649298,1
302,44803,1149697.87334152,1
303,44845,1150701.26910672,1
304,44888,1151065.27074191,1
305,44953,1155312.8557157,1
306,44995,1156238.89717016,1
307,45040,1156701.71940866,1
308,45127,1160747.01371554,1
309,45135,1160184.49392488,1
310,45220,1161020.80862754,1
311,45228,1163374.35208759,1
312,45294,1164988.57089359,1
313,45300,1167007.37690085,1
314,45303,1163701.22956953,1
315,45334,1167632.86328948,1
316,45381,1165879.25583543,1
317,45455,1166984.87881511,1
318,45524,1171998.49883904,1
319,45555,1172775.64232303,1
320,45641,1172907.99606035,1
321,45719,1174482.83954276,1
322,45755,1175652.0530885,1
323,45808,1177447.48358648,1
324,45841,1180560.14117798,1
325,45886,1178752.09321978,1
326,45950,1180166.64652686,1
327,46034,1184784.09422553,1
328,46103,1185647.06955635,1
329,46177,1186321.61787752,1
330,46235,1189227.30744875,1
331,46293,1191726.35774611,1
332,46310,1190786.82966874,1
333,46382,1191515.854049,1
334,46434,1195010.49433493,1
335,46486,1197473.50130699,1
336,46555,1197113.87789931,1
337,46557,1199210.25332756,1
338,46597,1200045.45676701,1
339,46683,1202977.15301615,1
340,46712,1201370.31362005,1
341,46715,1201487.55586692,1
342,46743,1202403.60908826,1
343,46784,1200097.44896909,1
344,46859,1203610.96483301,1
345,46931,1206956.32843991,1
346,47014,1206826.62943161,1
347,47091,1210450.63813993,1
348,47170,1212984.79140189,1
349,47173,1212721.89631497,1
350,47212,1213768.07597815,1
351,47258,1215610.45574914,1
352,47331,1218284.75501663,1
353,47406,1220048.95608031,1
354,47487,1221165.86371746,1
355,47489,1221119.82138801,1
356,47535,1222441.5793501,1
357,47592,1223220.81071358,1
358,47661,1224579.98281465,1
359,47679,1227104.94569925,1
360,47752,1228278.94405579,1
361,47823,1230924.32453341,1
362,47909,1230404.78526794,1
363,47930,1230506.6019506,1
364,47996,1236034.49615718,1
365,48055,1237849.81709154,1
366,48135,1236068.87773382,1
367,48214,1237119.55532334,1
368,48240,1242712.18775362,1
369,48285,1242089.85482474,1
370,48353,1242521.84839874,1
371,48427,1245987.31260119,1
372,48470,1245020.68142827,1
373,48503,1244375.71530415,1
374,48535,1245080.80714403,1
375,48605,1248383.22256679,1
376,48650,1250017.91049726,1
377,48730,1252427.67013052,1
378,48775,1251388.0762406,1
379,48816,1255933.97011356,1
380,48862,1257026.0187286,1
381,48880,1255316.82481441,1
382,48936,1257432.08604411,1
383,48951,1255171.0474847,1
384,48977,1261217.13318717,1
385,49049,1260732.82983655,1
386,49061,1262582.75726033,1
387,49120,1260989.65240007,1
388,49137,1261857.77799402,1
389,49158,1261768.36736461,1
390,49189,1264834.80429494,1
391,49253,1267546.40660472,1
392,49286,1266175.35925154,1
393,49318,1268561.61190454,1
394,49375,1268865.72850756,1
395,49377,1270381.6141714,1
396,49426,1272542.5311438,1
397,49505,1273887.66089119,1
398,49561,1274481.91241401,1
399,49583,1275514.13863885,1
400,49652,1276155.60982861,1
401,49690,1277519.39298917,1
402,49740,1278918.17702654,1
403,49782,1279245.44154137,1
404,49869,1280776.66611727,1
405,49941,1284821.17316115,1
406,49982,1284977.08261893,1
407,50044,1287605.83683655,1
408,50124,1287094.04948596,1
409,50137,1287097.27747342,1
410,50194,1290155.21924395,1
411,50256,1291806.96132189,1
412,50317,1294349.80670848,1
413,50326,1293222.36517651,1
414,50328,1294021.54817429,1
415,50411,1295647.35107883,1
416,50453,1297845.32303092,1
417,50522,1299094.70166927,1
418,50594,1302353.74936362,1
419,50614,1301217.92504693,1
420,50687,1301767.56651108,1
421,50766,1303049.64296501,1
422,50771,1305105.76277587,1
423,50820,1307787.2347036,1
424,50907,1309867.08940154,1
425,50963,1309203.08080261,1
426,51009,1312960.80784118,1
427,51059,1311838.28749694,1
428,51137,1313445.18433976,1
429,51155,1315581.69120985,1
430,51235,1317783.64525927,1
431,51312,1318157.45886156,1
432,51377,1319920.53271319,1
433,51462,1323081.83065744,1
434,51495,1325354.03727705,1
435,51537,1323484.19157171,1
436,51564,1322476.11332928,1
437,51572,1324769.7776291,1
438,51584,1324502.20205095,1
439,51606,1324761.32435683,1
440,51657,1324619.6750495,1
441,51722,1332208.56715799,1
442,51795,1330122.31017317,1
443,51846,1332633.10494061,1
444,51871,1333519.41963785,1
445,51888,1335379.22929942,1
446,51962,1337349.82548603,1
447,51988,1335003.17468499,1
448,52006,1337829.53861859,1
449,52029,1337224.71521532,1
450,52041,1336125.77809066,1
451,52071,1338979.2727253,1
452,52106,1335845.80743621,1
453,52174,1339669.10300919,1
454,52223,1342514.31030347,1
455,52259,1342016.92226627,1
456,52274,1347427.34466394,1
457,52287,1342392.38293272,1
458,52345,1346090.16452309,1
459,52432,1347913.00413038,1
460,52472,1348272.04409427,1
461,52545,1352945.69575546,1
462,52546,1352921.71565569,1
463,52592,1353684.76492651,1
464,52675,1353052.36362248,1
465,52690,1352611.36151598,1
466,52699,1354449.51910172,1
467,52748,1355324.06566631,1
468,52753,1356765.01049721,1
469,52789,1358983.19384724,1
470,52854,1357745.21567558,1
471,52860,1361622.92276772,1
472,52889,1358335.03127294,1
473,52928,1357138.9092994,1
474,52987,1361178.83449973,1
475,52996,1363416.86083872,1
476,53017,1362155.40144972,1
477,53044,1362971.83834579,1
478,53048,1364012.14117634,1
479,53053,1363210.86498367,1
480,53109,1365868.97628259,1
481,53196,1369192.12259199,1
482,53244,1368241.92830313,1
483,53325,1371342.54348212,1
484,53400,1372012.22995363,1
485,53476,1372950.85953091,1
486,53476,1375815.48147051,1
487,53524,1377853.86317211,1
488,53524,1375882.27884653,1
489,53535,1377358.70548231,1
490,53604,1378584.85458005,1
491,53617,1377748.43176984,1
492,53640,1379584.88235746,1
493,53655,1380290.00646692,1
494,53674,1377483.57370397,1
495,53714,1381329.83115031,1
496,53729,1380177.26803631,1
497,53812,1385447.45918963,1
498,53882,1384276.57924995,1
499,53913,1384443.64510369,1
500,53947,1385162.71835031,1
501,54011,1385970.23557881,1
502,54098,1390717.23014173,1
503,54123,1390073.3279113,1
504,54200,1394566.40038474,1
505,54206,1394011.46411014,1
506,54274,1394604.1498785,1
507,54348,1396275.05929115,1
508,54352,1395526.48885798,1
509,54394,1399014.96778765,1
510,54423,1399579.99050367,1
511,54472,1398387.24834228,1
512,54474,1400972.52328721,1
513,54561,1404437.09537947,1
514,54575,1401522.86299259,1
515,54659,1404896.10232022,1
516,54665,1404212.42825134,1
517,54679,1403120.88009343,1
518,54705,1405785.66749215,1
519,54774,1406713.90479908,1
520,54833,1412828.43726813,1
521,54864,1409759.29862586,1
522,54933,1413734.66255131,1
523,54934,1412621.08337745,1
524,55016,1411126.33284589,1
525,55037,1412878.5211105,1
526,55094,1417869.74844342,1
527,55151,1414638.47998482,1
528,55190,1417247.40235993,1
529,55214,1421145.41206084,1
530,55264,1418615.25060771,1
531,55283,1419120.65259337,1
532,55352,1422829.27901921,1
533,55375,1422323.09088633,1
534,55423,1421804.80812577,1
535,55507,1425527.24801247,1
536,55535,1426183.61630488,1
537,55545,1427500.92636822,1
538,55586,1429906.08021999,1
539,55622,1427653.80284,1
540,55702,1432462.4310206,1
541,55750,1432822.59550174,1
542,55807,1435244.98780649,1
543,55856,1433000.15502156,1
544,55896,1435654.87033616,1
545,55956,1436764.21046123,1
546,56038,1440660.75708584,1
547,56041,1439795.68849775,1
548,56061,1441608.65298878,1
549,56143,1442842.69924425,1
550,56182,1445696.32119073,1
551,56243,1446787.07423169,1
552,56316,1447982.01226752,1
553,56357,1448618.35317233,1
554,56383,1447172.28036299,1
555,56398,1448711.01927619,1
556,56408,1449422.98190137,1
557,56419,1452316.04800786,1
558,56495,1452471.97716118,1
559,56563,1453399.10428277,1
560,56639,1455725.99281411,1
561,56669,1459378.92003167,1
562,56685,1459176.57141465,1
563,56703,1457558.93832318,1
564,56738,1459971.17082426,1
565,56769,1457908.52821134,1
566,56811,1460970.39979766,1
567,56844,1461342.39449831,1
568,56915,1463287.37468119,1
569,56937,1464922.05112733,1
570,56988,1467173.00985516,1
571,57024,1467603.04476848,1
572,57090,1471080.43615226,1
573,57157,1470927.32592169,1
574,57242,1471546.0857189,1
575,57328,1474364.62974221,1
576,57336,1472981.69325908,1
577,57379,1476507.96677209,1
578,57437,1476123.18759605,1
579,57440,1474111.01467276,1
580,57519,1479510.51778606,1
581,57575,1476888.25877787,1
582,57606,1478752.19548882,1
583,57657,1483136.47659443,1
584,57692,1484919.25419046,1
585,57775,1486486.80865999,1
586,57833,1487401.53611989,1
587,57909,1488581.77243391,1
588,57958,1488995.33758731,1
589,57964,1489570.62705965,1
590,57992,1490791.45411613,1
591,58019,1492719.16691353,1
592,58036,1492853.2067427,1
593,58046,1489462.32673659,1
594,58061,1490208.38024296,1
595,58132,1495078.40569451,1
596,58164,1496433.47745962,1
597,58220,1494663.07686986,1
598,58284,1498815.5568251,1
599,58315,1500499.81474957,1
600,58340,1499530.61494595,1
601,58370,1497806.41381587,1
602,58419,1500037.92106197,1
603,58459,1503532.98008166,1
604,58545,1505923.60310655,1
605,58553,1505495.1165337,1
606,58595,1506105.15286388,1
607,58656,1509058.70746096,1
608,58685,1507707.71113055,1
609,58754,1510557.89312381,1
610,58772,1507882.23626574,1
611,58785,1510154.32275164,1
612,58840,1511906.61638905,1
613,58858,1513602.31215228,1
614,58917,1513171.73322634,1
615,58965,1513039.65085106,1
616,58973,1511941.22601406,1
617,59047,1517407.67680529,1
618,59096,1516957.83274904,1
619,59120,1517789.88814125,1
620,59180,1518835.16000138,1
621,59214,1522190.75698331,1
622,59233,1523968.2497178,1
623,59259,1521644.09927535,1
624,59343,1525890.84392355,1
625,59420,1525350.56552938,1
626,59474,1528619.46338349,1
627,59480,1529956.2892157,1
628,59495,1529440.28751037,1
629,59500,1528441.54593516,1
630,59511,1526738.4100311,1
631,59537,1531261.1079096,1
632,59577,1530883.94849057,1
633,59654,1532668.70701423,1
634,59679,1536814.21169544,1
635,59749,1537080.57654645,1
636,59769,1535868.96192055,1
637,59855,1537875.46318342,1
638,59882,1538689.82926394,1
639,59959,1540632.81796318,1
640,60019,1543560.15727893,1
641,60068,1542187.22294979,1
642,60076,1543029.58134569,1
643,60153,1546147.48369648,1
644,60162,1544578.63498429,1
645,60229,1548556.31188536,1
646,60299,1549841.96967883,1
647,60327,1550665.83146674,1
648,60337,1551468.99303774,1
649,60398,1552958.2819208,1
650,60439,1553408.54485234,1
651,60496,1556778.97644678,1
652,60544,1556813.31733165,1
653,60568,1556144.07882173,1
654,60621,1559725.53556803,1
655,60634,1560109.18261863,1
656,60716,1559707.00482011,1
657,60726,1559675.7635726,1
658,60752,1561481.25174208,1
659,60826,1562647.08030432,1
660,60852,1562961.79787441,1
661,60938,1567510.71134983,1
662,60965,1566479.79388364,1
663,61049,1568954.41713502,1
664,61063,1566344.80382035,1
665,61087,1567669.36629116,1
666,61136,1570243.2002716,1
667,61179,1571690.02026143,1
668,61192,1577148.82422844,1
669,61196,1573813.99283636,1
670,61239,1576392.12450618,1
671,61258,1574454.94791151,1
672,61265,1573621.20762063,1
673,61284,1573818.85337346,1
674,61370,1576371.27340737,1
675,61446,1579808.58717805,1
676,61499,1584304.86037007,1
677,61501,1583928.03273123,1
678,61512,1581402.6020396,1
679,61596,1584069.66962489,1
680,61632,1584469.62561477,1
681,61696,1584084.0542414,1
682,61771,1587534.33545745,1
683,61837,1591106.83820429,1
684,61858,1590610.35426891,1
685,61878,1589199.89919055,1
686,61902,1590482.42469621,1
687,61903,1590716.67351042,1
688,61947,1588844.78939275,1
689,61970,1592533.33414821,1
690,62013,1593138.13207394,1
691,62045,1593372.4110209,1
692,62093,1596428.80378329,1
693,62121,1598808.29021375,1
694,62208,1599050.38388703,1
695,62289,1600706.57153585,1
696,62371,1603041.80089137,1
697,62450,1603975.40918519,1
698,62507,1607955.58125759,1
699,62592,1606739.4222708,1
700,62644,1612096.44719449,1
701,62651,1609672.32053044,1
702,62692,1612033.0412176,1
703,62766,1612464.64327792,1
704,62831,1614769.53230445,1
705,62868,1617022.74375694,1
706,62906,1617355.7961949,1
707,62970,1618398.25512283,1
708,63046,1620816.13381383,1
709,63083,1618726.45544951,1
710,63141,1621047.97590968,1
711,63213,1621522.63881539,1
712,63218,1624835.72299735,1
713,63268,1625786.5231041,1
714,63298,1627869.9613911,1
715,63334,1629694.18031345,1
716,63374,1629720.09898343,1
717,63418,1632031.40315725,1
718,63486,1630973.84971241,1
719,63486,1631767.165481,1
720,63526,1632172.98724252,1
721,63553,1632212.70722664,1
722,63581,1634437.5593479,1
723,63634,1636955.60712836,1
724,63651,1637218.50151523,1
725,63693,1636972.1215487,1
726,63705,1637174.13924592,1
727,63778,1639783.4863272,1
728,63810,1640587.69634262,1
729,63833,1641689.92748831,1
730,63879,1639900.61429723,1
731,63879,1642584.07538735,1
732,63892,1640494.03315914,1
733,63905,1641926.87777825,1
734,63911,1644396.05638499,1
735,63939,1642421.09748911,1
736,64007,1644421.94649364,1
737,64058,1647143.58328796,1
738,64097,1646638.84018994,1
739,64149,1647952.41814442,1
740,64150,1648442.60639532,1
741,64152,1650710.63050114,1
742,64157,1647700.82964325,1
743,64232,1649842.87867204,1
744,64285,1650572.4251231,1
745,64307,1652933.80146648,1
746,64378,1652989.12157378,1
747,64460,1655795.22228885,1
748,64493,1658745.09593369,1
749,64549,1659725.244471,1
750,64600,1656703.0067974,1
751,64649,1662047.47473437,1
752,64722,1662410.71732388,1
753,64783,1662201.78853102,1
754,64798,1665016.18478603,1
755,64846,1666469.54793639,1
756,64902,1669123.32406871,1
757,64966,1668790.55747688,1
758,65020,1670687.31403771,1
759,65054,1672809.68595131,1
760,65135,1674085.40960831,1
761,65173,1674885.88287239,1
762,65218,1673448.01887765,1
763,65287,1677899.92868435,1
764,65323,1680333.37520245,1
765,65400,1680714.49735119,1
766,65480,1682686.34901995,1
767,65508,1686039.58158666,1
768,65533,1683577.29453032,1
769,65602,1685379.77358317,1
770,65669,1686146.45923868,1
771,65703,1687829.76103184,1
772,65718,1690532.991274,1
773,65783,1691499.50630426,1
774,65859,1693274.60970892,1
775,65913,1693007.19149819,1
776,65917,1694027.35052198,1
777,65921,1693783.19846442,1
778,65966,1693292.50546412,1
779,66051,1696627.10168615,1
780,66122,1697697.55981583,1
781,66160,1701114.86401266,1
782,66223,1704026.30119461,1
783,66288,1705208.70037659,1
784,66371,1707642.69256965,1
785,66382,1705556.37981508,1
786,66419,1707269.769025,1
787,66425,1707110.87277517,1
788,66482,1706479.37673895,1
789,66486,1709732.53342402,1
790,66494,1708719.69278464,1
791,66562,1710862.73729989,1
792,66577,1706878.62367198,1
793,66622,1712460.12857946,1
794,66668,1713789.40794823,1
795,66752,1715570.48070281,1
796,66804,1715378.02562284,1
797,66829,1716391.8002,1
798,66916,1720799.41511878,1
799,66940,1722029.20285036,1
800,66945,1717510.01996938,1
801,66980,1721690.99755711,1
802,67021,1720098.15009292,1
803,67073,1725089.84827337,1
804,67158,1725860.90866369,1
805,67170,1726588.99681643,1
806,67210,1726882.04917017,1
807,67247,1728236.84746511,1
808,67288,1731799.47172331,1
809,67318,1731921.12122079,1
810,67405,1733046.99043367,1
811,67470,1734221.46326611,1
812,67536,1734565.41698557,1
813,67595,1738833.59767502,1
814,67678,1738767.02798266,1
815,67738,1738808.13792927,1
816,67745,1740739.69683269,1
817,67826,1745822.52995737,1
818,67886,1745734.66039815,1
819,67889,1743713.02211597,1
820,67907,1745619.61409822,1
821,67963,1749057.31051871,1
822,67975,1745391.02667811,1
823,67977,1748482.18347559,1
824,68017,1747862.3650071,1
825,68080,1750500.69534044,1
826,68080,1748021.82662584,1
827,68117,1751123.32531578,1
828,68127,1749697.80938404,1
829,68155,1751081.66090271,1
830,68168,1752298.45602069,1
831,68170,1751258.95706542,1
832,68224,1753331.68263542,1
833,68282,1754771.86394414,1
834,68302,1756071.53700923,1
835,68311,1753759.88636127,1
836,68341,1754570.05323071,1
837,68344,1755503.78005189,1
838,68381,1758854.66837169,1
839,68389,1756207.18125059,1
840,68407,1756985.40745454,1
841,68431,1758143.78493164,1
842,68452,1760337.83321684,1
843,68513,1762764.89146753,1
844,68591,1761391.37860254,1
845,68639,1762692.90805678,1
846,68671,1765597.47410478,1
847,68696,1766214.133163,1
848,68725,1766918.97914445,1
849,68797,1768842.23460057,1
850,68863,1769478.09590412,1
851,68940,1768021.87503906,1
852,69000,1771190.24369486,1
853,69040,1776450.92576776,1
854,69079,1775877.99008242,1
855,69157,1780489.82593782,1
856,69193,1781024.50298407,1
857,69267,1778015.53575222,1
858,69272,1780284.63036921,1
859,69272,1781079.71660544,1
860,69321,1783725.14128724,1
861,69372,1783348.43385341,1
862,69405,1783871.52284496,1
863,69446,1784988.7347986,1
864,69459,1783252.5389178,1
865,69513,1786874.11807428,1
866,69556,1786313.79321962,1
867,69556,1787855.11387128,1
868,69611,1788268.9118967,1
869,69688,1791659.37751984,1
870,69729,1792795.84691293,1
871,69747,1793216.9814408,1
872,69758,1790710.59611916,1
873,69779,1794436.50331407,1
874,69784,1792686.80070968,1
875,69787,1790817.69918882,1
876,69864,1795186.55450452,1
877,69877,1797491.62943213,1
878,69881,1798611.23757383,1
879,69959,1795448.11284941,1
880,70017,1800124.18135282,1
881,70095,1800741.14633569,1
882,70114,1801382.34893872,1
883,70176,1804930.52289781,1
884,70212,1806676.33512148,1
885,70224,1802633.57108787,1
886,70249,1805128.54776114,1
887,70286,1805479.87329661,1
888,70313,1805483.13243953,1
889,70394,1810814.45533272,1
890,70431,1811564.84709902,1
891,70502,1811303.66924184,1
892,70529,1812911.73884163,1
893,70589,1814490.80714262,1
894,70633,1815333.51509396,1
895,70678,1816276.48895633,1
896,70752,1818848.97414394,1
897,70779,1820737.90845083,1
898,70847,1820142.59337567,1
899,70934,1823331.11725743,1
900,70936,1823121.5073136,1
901,70981,1822469.78661274,1
902,71038,1828030.22505477,1
903,71069,1825556.1040914,1
904,71092,1823892.45692542,1
905,71112,1830176.11783948,1
906,71161,1827059.64667996,1
907,71223,1830651.27785319,1
908,71238,1830816.09543698,1
909,71242,1832357.90574807,1
910,71265,1832181.70671871,1
911,71282,1833056.53461464,1
912,71306,1834389.99926397,1
913,71308,1833142.11216475,1
914,71360,1830141.64345581,1
915,71401,1834667.03641076,1
916,71425,1835815.96844145,1
917,71466,1836686.10303881,1
918,71531,1836225.65085834,1
919,71585,1839653.89099728,1
920,71654,1842271.58237904,1
921,71706,1842850.19376921,1
922,71775,1846514.90371765,1
923,71823,1847240.12967037,1
924,71907,1847205.31570991,1
925,71981,1848084.55230908,1
926,72062,1850855.16882627,1
927,72134,1853252.19333064,1
928,72196,1857934.16341592,1
929,72234,1858541.68975567,1
930,72242,1858815.91793007,1
931,72243,1858059.02404388,1
932,72300,1856281.15223987,1
933,72301,1858334.05264844,1
934,72312,1856471.65219087,1
935,72354,1857360.126065,1
936,72358,1860577.94185328,1
937,72441,1862660.50651979,1
938,72524,1865814.3930765,1
939,72565,1866503.49999411,1
940,72566,1865499.42476735,1
941,72623,1867453.24328435,1
942,72697,1867571.38479111,1
943,72777,1870552.45285313,1
944,72778,1868436.73674442,1
